trade_date,branch,gate_fail_reason,count
2026-01-20,continuation_compare,regime_fail,1
2026-01-21,continuation_compare,vwap_fail,1
2026-01-21,reclaim_first5_high,compound_fail,1
2026-01-21,reclaim_first5_high,regime_fail,1
2026-01-21,reclaim_first5_high,vwap_fail,1
2026-01-21,reclaim_vwap,compound_fail,1
2026-01-21,reclaim_vwap,regime_fail,1
2026-01-21,reclaim_vwap,vwap_fail,1
2026-01-22,reclaim_first5_high,compound_fail,1
2026-01-22,reclaim_first5_high,regime_fail,1
2026-01-22,reclaim_first5_high,vwap_fail,1
2026-01-22,reclaim_vwap,compound_fail,1
2026-01-22,reclaim_vwap,regime_fail,1
2026-01-22,reclaim_vwap,vwap_fail,1
2026-01-23,reclaim_first5_high,compound_fail,1
2026-01-23,reclaim_first5_high,regime_fail,1
2026-01-23,reclaim_first5_high,vwap_fail,1
2026-01-23,reclaim_vwap,compound_fail,1
2026-01-23,reclaim_vwap,regime_fail,1
2026-01-23,reclaim_vwap,vwap_fail,1
2026-01-26,reclaim_first5_high,regime_fail,1
2026-01-26,reclaim_vwap,regime_fail,1
2026-01-29,continuation_compare,compound_fail,1
2026-01-29,continuation_compare,range_fail,1
2026-01-29,continuation_compare,regime_fail,1
2026-01-29,continuation_compare,vwap_fail,1
2026-01-29,reclaim_first5_high,compound_fail,1
2026-01-29,reclaim_first5_high,range_fail,1
2026-01-29,reclaim_first5_high,vwap_fail,1
2026-01-29,reclaim_vwap,compound_fail,1
2026-01-29,reclaim_vwap,range_fail,1
2026-01-29,reclaim_vwap,vwap_fail,1
2026-01-30,continuation_compare,compound_fail,1
2026-01-30,continuation_compare,pace_fail,1
2026-01-30,continuation_compare,regime_fail,1
2026-01-30,reclaim_first5_high,pace_fail,1
2026-01-30,reclaim_vwap,pace_fail,1
2026-02-04,continuation_compare,compound_fail,1
2026-02-04,continuation_compare,range_fail,1
2026-02-04,continuation_compare,regime_fail,1
2026-02-04,reclaim_first5_high,compound_fail,1
2026-02-04,reclaim_first5_high,range_fail,1
2026-02-04,reclaim_first5_high,vwap_fail,1
2026-02-04,reclaim_vwap,compound_fail,1
2026-02-04,reclaim_vwap,range_fail,1
2026-02-04,reclaim_vwap,vwap_fail,1
2026-02-05,continuation_compare,compound_fail,1
2026-02-05,continuation_compare,range_fail,1
2026-02-05,continuation_compare,regime_fail,1
2026-02-05,continuation_compare,vwap_fail,1
2026-02-05,reclaim_first5_high,compound_fail,1
2026-02-05,reclaim_first5_high,range_fail,1
2026-02-05,reclaim_first5_high,regime_fail,1
2026-02-05,reclaim_first5_high,vwap_fail,1
2026-02-05,reclaim_vwap,compound_fail,1
2026-02-05,reclaim_vwap,range_fail,1
2026-02-05,reclaim_vwap,regime_fail,1
2026-02-05,reclaim_vwap,vwap_fail,1
2026-02-09,continuation_compare,regime_fail,1
2026-02-12,continuation_compare,pace_fail,1
2026-02-12,reclaim_first5_high,regime_fail,1
2026-02-12,reclaim_vwap,regime_fail,1
2026-02-13,continuation_compare,compound_fail,1
2026-02-13,continuation_compare,range_fail,1
2026-02-13,continuation_compare,vwap_fail,1
2026-02-13,reclaim_first5_high,compound_fail,1
2026-02-13,reclaim_first5_high,range_fail,1
2026-02-13,reclaim_first5_high,regime_fail,1
2026-02-13,reclaim_first5_high,vwap_fail,1
2026-02-13,reclaim_vwap,compound_fail,1
2026-02-13,reclaim_vwap,range_fail,1
2026-02-13,reclaim_vwap,regime_fail,1
2026-02-13,reclaim_vwap,vwap_fail,1
2026-02-17,continuation_compare,compound_fail,1
2026-02-17,continuation_compare,pace_fail,1
2026-02-17,continuation_compare,range_fail,1
2026-02-17,continuation_compare,regime_fail,1
2026-02-17,continuation_compare,vwap_fail,1
2026-02-17,reclaim_first5_high,compound_fail,1
2026-02-17,reclaim_first5_high,pace_fail,1
2026-02-17,reclaim_first5_high,range_fail,1
2026-02-17,reclaim_first5_high,vwap_fail,1
2026-02-17,reclaim_vwap,compound_fail,1
2026-02-17,reclaim_vwap,pace_fail,1
2026-02-17,reclaim_vwap,range_fail,1
2026-02-17,reclaim_vwap,vwap_fail,1
2026-02-25,continuation_compare,compound_fail,1
2026-02-25,continuation_compare,range_fail,1
2026-02-25,continuation_compare,regime_fail,1
2026-02-25,continuation_compare,vwap_fail,1
2026-02-25,reclaim_first5_high,compound_fail,1
2026-02-25,reclaim_first5_high,range_fail,1
2026-02-25,reclaim_first5_high,vwap_fail,1
2026-02-25,reclaim_vwap,compound_fail,1
2026-02-25,reclaim_vwap,range_fail,1
2026-02-25,reclaim_vwap,vwap_fail,1
2026-02-27,continuation_compare,compound_fail,1
2026-02-27,continuation_compare,pace_fail,1
2026-02-27,continuation_compare,range_fail,1
2026-02-27,continuation_compare,regime_fail,2
2026-02-27,continuation_compare,vwap_fail,1
2026-02-27,reclaim_first5_high,compound_fail,1
2026-02-27,reclaim_first5_high,pace_fail,1
2026-02-27,reclaim_first5_high,range_fail,1
2026-02-27,reclaim_first5_high,vwap_fail,1
2026-02-27,reclaim_vwap,compound_fail,1
2026-02-27,reclaim_vwap,pace_fail,1
2026-02-27,reclaim_vwap,range_fail,1
2026-02-27,reclaim_vwap,vwap_fail,1
2026-03-02,continuation_compare,regime_fail,1
2026-03-04,continuation_compare,compound_fail,1
2026-03-04,continuation_compare,pace_fail,1
2026-03-04,continuation_compare,range_fail,1
2026-03-04,continuation_compare,vwap_fail,1
2026-03-04,reclaim_first5_high,compound_fail,1
2026-03-04,reclaim_first5_high,pace_fail,1
2026-03-04,reclaim_first5_high,range_fail,1
2026-03-04,reclaim_first5_high,regime_fail,1
2026-03-04,reclaim_first5_high,vwap_fail,1
2026-03-04,reclaim_vwap,compound_fail,1
2026-03-04,reclaim_vwap,pace_fail,1
2026-03-04,reclaim_vwap,range_fail,1
2026-03-04,reclaim_vwap,regime_fail,1
2026-03-04,reclaim_vwap,vwap_fail,1
2026-03-06,continuation_compare,regime_fail,1
2026-03-09,continuation_compare,regime_fail,1
2026-03-09,reclaim_first5_high,vwap_fail,1
2026-03-09,reclaim_vwap,vwap_fail,1
2026-03-13,continuation_compare,compound_fail,1
2026-03-13,continuation_compare,range_fail,1
2026-03-13,continuation_compare,vwap_fail,1
2026-03-13,reclaim_first5_high,compound_fail,1
2026-03-13,reclaim_first5_high,range_fail,1
2026-03-13,reclaim_first5_high,regime_fail,1
2026-03-13,reclaim_first5_high,vwap_fail,1
2026-03-13,reclaim_vwap,compound_fail,1
2026-03-13,reclaim_vwap,range_fail,1
2026-03-13,reclaim_vwap,regime_fail,1
2026-03-13,reclaim_vwap,vwap_fail,1
2026-03-17,continuation_compare,compound_fail,2
2026-03-17,continuation_compare,pace_fail,1
2026-03-17,continuation_compare,range_fail,2
2026-03-17,continuation_compare,vwap_fail,2
2026-03-17,reclaim_first5_high,compound_fail,2
2026-03-17,reclaim_first5_high,pace_fail,1
2026-03-17,reclaim_first5_high,range_fail,2
2026-03-17,reclaim_first5_high,regime_fail,2
2026-03-17,reclaim_first5_high,vwap_fail,2
2026-03-17,reclaim_vwap,compound_fail,2
2026-03-17,reclaim_vwap,pace_fail,1
2026-03-17,reclaim_vwap,range_fail,2
2026-03-17,reclaim_vwap,regime_fail,2
2026-03-17,reclaim_vwap,vwap_fail,2
2026-03-18,reclaim_first5_high,regime_fail,1
2026-03-18,reclaim_vwap,regime_fail,1
2026-03-24,continuation_compare,regime_fail,1
2026-03-31,continuation_compare,compound_fail,1
2026-03-31,continuation_compare,pace_fail,1
